x,z
5.229027679999999734e+00,8.962166579999999882e+00
5.224941190000000013e+00,8.959748729999999384e+00
5.222043399999999558e+00,8.960161199999999937e+00
5.214346029999999743e+00,8.960065070000000631e+00
5.206713099999999983e+00,8.958591300000000146e+00
5.205818940000000339e+00,8.958382759999999223e+00
5.187489170000000094e+00,8.954716030000000160e+00
5.187347110000000150e+00,8.954680489999999438e+00
5.141978029999999755e+00,8.944976649999999196e+00
5.138019489999999578e+00,8.943911359999999533e+00
5.114526670000000053e+00,8.938778609999999958e+00
5.111485809999999574e+00,8.938257350000000656e+00
5.104638429999999616e+00,8.937365709999999908e+00
5.096667280000000133e+00,8.934769890000000103e+00
5.073610129999999607e+00,8.930976310000000140e+00
5.071279520000000041e+00,8.930460769999999826e+00
5.034451559999999937e+00,8.924758510000000200e+00
5.023568499999999659e+00,8.922724799999999235e+00
5.023037079999999932e+00,8.922606189999999771e+00
5.020835629999999661e+00,8.922091910000000681e+00
5.018404780000000009e+00,8.921627179999999768e+00
5.016867239999999839e+00,8.921333300000000577e+00
5.014578529999999645e+00,8.920895169999999652e+00
5.014234319999999911e+00,8.920828900000000061e+00
5.012371459999999779e+00,8.920472300000000132e+00
5.010510789999999659e+00,8.920116489999999843e+00
5.009766850000000105e+00,8.919975000000000875e+00
5.009116429999999731e+00,8.919850289999999404e+00
5.008138090000000098e+00,8.919662569999999846e+00
5.006884620000000119e+00,8.919423359999999690e+00
5.006113749999999918e+00,8.919276249999999351e+00
5.004765660000000338e+00,8.919019179999999380e+00
5.003401779999999910e+00,8.918757940000000772e+00
5.002860840000000309e+00,8.918654809999999600e+00
5.002397120000000363e+00,8.918566710000000342e+00
5.001557270000000166e+00,8.918409880000000456e+00
4.999670680000000367e+00,8.918045740000000166e+00
4.998700269999999612e+00,8.917861150000000237e+00
4.998423019999999717e+00,8.917808230000000336e+00
4.998215140000000112e+00,8.917768920000000321e+00
4.997924020000000134e+00,8.917713750000000772e+00
4.996761290000000244e+00,8.917491710000000182e+00
4.996066380000000251e+00,8.917358979999999491e+00
4.995271419999999907e+00,8.917207330000000098e+00
4.994077879999999858e+00,8.916981549999999146e+00
4.992094319999999641e+00,8.916603179999999185e+00
4.991426699999999883e+00,8.916477260000000626e+00
4.990427239999999820e+00,8.916284779999999799e+00
4.989004289999999564e+00,8.916015030000000507e+00
4.987225150000000440e+00,8.915675919999999977e+00
4.986552800000000119e+00,8.915546870000000013e+00
4.985822309999999646e+00,8.915408140000000259e+00
4.985457140000000287e+00,8.915338609999999164e+00
