x,z,cp,tangential_velocity
9.999676385887605878e-01,1.154741954818231178e-02,7.956538199386896659e-01,-4.520466569518132305e-01
9.998382009284972893e-01,1.157414206926107511e-02,7.010422182433289073e-01,-5.467703190158287319e-01
9.995793575447764479e-01,1.162758051803638656e-02,6.260537469452944759e-01,-6.115114496513581743e-01
9.991911723033298776e-01,1.170772170937063247e-02,5.600401208334702119e-01,-6.632947151655361750e-01
9.986737409830573897e-01,1.181454586962402478e-02,4.984082445542864503e-01,-7.082314278861914225e-01
9.980271912523948075e-01,1.194802664153346225e-02,4.450371435409272713e-01,-7.449582917580505059e-01
9.972566778224520867e-01,1.210258332292517280e-02,3.961140742927057312e-01,-7.771009752324946618e-01
9.963503138467879605e-01,1.223929252064323223e-02,3.613227206758142795e-01,-7.991728719896501465e-01
9.953023881421190211e-01,1.235776487583418494e-02,3.846957649711243432e-01,-7.844133062543467982e-01
9.941242965971408552e-01,1.249095302012942499e-02,3.842098266345166380e-01,-7.847229914852013044e-01
9.928163298883135868e-01,1.263882409134729073e-02,3.712229965131268461e-01,-7.929546036734216319e-01
9.913788107368513014e-01,1.280134160451359970e-02,3.492982677490089616e-01,-8.066608533026695671e-01
9.898110160565436466e-01,1.296791445225771444e-02,3.311598157795223596e-01,-8.178265000722816369e-01
9.881124700240329073e-01,1.313005646793871314e-02,3.260293940419952685e-01,-8.209571279658912646e-01
9.862845274483915681e-01,1.329688799318346978e-02,3.235377875972319517e-01,-8.224732289884990610e-01
9.843283599460364020e-01,1.347542227122970962e-02,3.188221228545382591e-01,-8.253350090390336735e-01
9.822444501720279941e-01,1.366561525141578651e-02,3.137198893802423116e-01,-8.284202500058516216e-01
9.800333122999210778e-01,1.386742000646975712e-02,3.086567362126501068e-01,-8.314705429462608821e-01
9.776954918948993489e-01,1.408078674408798706e-02,3.042081250258896752e-01,-8.341413998682180031e-01
9.752315657791663650e-01,1.430566281922064295e-02,3.024854194543629138e-01,-8.351733835232281189e-01
9.726443893778271566e-01,1.456109118529401447e-02,2.897348862322591811e-01,-8.427722787133786753e-01
9.699320707681752252e-01,1.482477131275638724e-02,2.777012031271984815e-01,-8.498816369782332680e-01
9.670930195325906364e-01,1.507740341399338435e-02,2.782502171757430531e-01,-8.495585811609797089e-01
9.641304542808086797e-01,1.534102637198317409e-02,2.753445155873170958e-01,-8.512669877380908412e-01
9.610451059814756336e-01,1.561557514170554273e-02,2.710131356630501864e-01,-8.538072758749188917e-01
9.578374658282460263e-01,1.589783270417897965e-02,2.663921679193306247e-01,-8.565090963210311159e-01
9.545076637952665255e-01,1.618001611191626637e-02,2.652307443193745451e-01,-8.571868265906945616e-01
9.510567582553872690e-01,1.646481698971475477e-02,2.662688479181437584e-01,-8.565810831916942369e-01
9.474862288551295642e-01,1.675949034302662288e-02,2.662385906137626490e-01,-8.565987446793494886e-01
9.437969565691959328e-01,1.706396346561123156e-02,2.660485918383603821e-01,-8.567096405210108401e-01
9.399898516703190099e-01,1.737816123328151524e-02,2.659692257534821414e-01,-8.567559595628838620e-01
9.360658535046657569e-01,1.770200612243975208e-02,2.662495336650240185e-01,-8.565923571541926851e-01
9.320259302600673035e-01,1.803541822920532584e-02,2.671489860129679927e-01,-8.560671784311275623e-01
9.278710787271339244e-01,1.837831528912985124e-02,2.697494853565902684e-01,-8.545469645627499222e-01
9.236043418796591187e-01,1.874942567435568946e-02,2.657910969471805052e-01,-8.568599086506611950e-01
9.192241744635802903e-01,1.912267186373372771e-02,2.624436037350315054e-01,-8.588110364131148478e-01
9.147296251946572809e-01,1.947897176941189301e-02,2.690223525624961809e-01,-8.549723079945360515e-01
9.101243868445442198e-01,1.984404641685568599e-02,2.733928738793740543e-01,-8.524125328270496516e-01
9.054095956868940531e-01,2.021780572935857889e-02,2.778021064792378647e-01,-8.498222717255426994e-01
9.005864150258761081e-01,2.060015748740288977e-02,2.828392853771967141e-01,-8.468534197975486899e-01
8.956560349091476914e-01,2.099100735141357782e-02,2.889956641423188088e-01,-8.432107303976160706e-01
8.906196718342276331e-01,2.139025888503510650e-02,2.973441342413101207e-01,-8.382457072712570234e-01
8.854795211337753713e-01,2.180741702380988717e-02,3.069040614792493127e-01,-8.325238366081482155e-01
8.802389970775164052e-01,2.226572130436663133e-02,3.109605810210313015e-01,-8.300839830878371517e-01
8.748971585115439265e-01,2.273987890241335047e-02,3.155668537916759275e-01,-8.273047480876222215e-01
8.694528347467100904e-01,2.320670657284285704e-02,3.301416819984561712e-01,-8.184487265562478964e-01
8.639107523490960894e-01,2.369912407925726591e-02,3.457409388898723401e-01,-8.088628197105660611e-01
8.582749656717389986e-01,2.422833764946412394e-02,3.636637314402131338e-01,-7.977068813541643433e-01
8.525492597488844027e-01,2.483639586016836778e-02,3.804741534407785064e-01,-7.870996420779401426e-01
8.467385124810697938e-01,2.555739792953943754e-02,3.901174828242824910e-01,-7.809497532976865664e-01
8.408486179648645420e-01,2.639601609211022354e-02,3.982714412622680999e-01,-7.757116466430885593e-01
8.348863584759884660e-01,2.737488046233268330e-02,4.011413457946498839e-01,-7.738595830028534017e-01
8.288561487257882776e-01,2.849404684542075628e-02,4.007462902813326844e-01,-7.741147910475986160e-01
8.227639637627339741e-01,2.976243042680921241e-02,3.975131639576274800e-01,-7.762002551161475417e-01
8.166140345398779088e-01,3.118006901536626158e-02,3.901085993351453007e-01,-7.809554408958648830e-01
8.104095542574129007e-01,3.274072720572856338e-02,3.832757182445046817e-01,-7.853179494672812844e-01
