x,z_lower,z_upper
3.0005572569370269,8.9292959919393411,8.9468796177192633
3.0011145138740538,8.9249934602330345,8.9519199361418256
3.0016717708110807,8.9221026338618241,8.9550868867732056
3.0022290277481081,8.9192909073399136,8.9582538374045875
3.002786284685135,8.9170828029467071,8.9606841095465448
3.0033435416221619,8.9151451633564385,8.962701249768589
3.0039007985591888,8.9135526229400526,8.9647183899906313
3.0044580554962157,8.9120236720440644,8.9667355302126737
3.0050153121948244,8.9105803470779392,8.9687526695716997
3.00557256937027,8.9092806727940204,8.9707565518138281
3.0061298265457155,8.9080812355065362,8.9723388851897123
3.0066870832443238,8.9069189970446523,8.9739212172116147
3.0072443399429321,8.9058712178130826,8.9755035492335189
3.0078015971183776,8.9048333822995271,8.9770858826094013
3.0083588542938231,8.9038979465595034,8.9786682159852855
3.0089161109924318,8.9029754321821031,8.9802505480071897
3.0094733676910401,8.9021286640137056,8.9818328800290939
3.0100306243896484,8.9013137114257539,8.9832350289247902
3.0105878820419312,8.9005258808526584,8.9845150916722663
3.0111451387405395,8.8998017384753876,8.9857951522290804
3.0117023954391478,8.8990775960981168,8.9870752127858964
3.0122596530914305,8.898415348931449,8.9883552755333724
3.0128169097900392,8.8977704558615613,8.9896353360901884
3.0133741664886475,8.8971255627916754,8.9909153966470043
3.0139314231872558,8.8965258322015934,8.9921954572038185
3.0144886798858641,8.8959514608341141,8.9934755177606345
3.0150459375381469,8.89537708848367,8.9947555805081105
3.0156031942367552,8.8948299751125006,8.9960356410649265
3.0161604518890379,8.894315784556218,8.9973157038124025
3.0167177085876467,8.8938015948799034,8.9984596415485285
3.0172749652862549,8.8932966333372843,8.9994690472611083
3.0178322219848632,8.892836057283299,9.0004784529736881
3.0183894786834715,8.8923754812293119,9.0014878586862661
3.0189467353820802,8.8919149051753266,9.0024972643988459
3.0195039920806885,8.8915082950863198,9.0035066701114239
3.0200612487792968,8.8911035540833403,9.0045160758240037
3.0206185073852541,8.8906988116950352,9.0055254849915229
3.0211757640838623,8.8902940706920557,9.006534890704101
3.0217330207824706,8.8899282167091744,9.0075442964166808
3.0222902774810789,8.8895772879749178,9.0085537021292588
3.0228475341796877,8.8892263592406611,9.0095631078418386
3.0234047908782959,8.8888754305064044,9.0105725135544184
3.0239620475769042,8.8885706931392079,9.0115819192669964
3.0245193061828615,8.8882862303971155,9.0125913284345156
3.0250765628814698,8.8880017686286621,9.0136007341470954
3.025633819580078,8.8877173068602104,9.0146101398596734
3.0261910762786863,8.8874328450917588,9.0155929971215691
3.0267483329772951,8.8871483833233054,9.0164613979174053
3.0273055896759034,8.8868639215548537,9.0172948829022523
3.0278628463745116,8.8865794597864003,9.0181283678870994
3.0284201030731199,8.8862949980179486,9.0189618528719464
3.0289773597717287,8.886010536249497,9.0197953378567934
3.0295346183776855,8.8857250903028628,9.0206288256944482
3.0300918750762937,8.8854976693120875,9.0214623106792953
3.0306491317749025,8.8852737697443391,9.0222957956641441
3.0312063884735108,8.8850498701765908,9.0231292806489911
3.031763645172119,8.8848259706088424,9.0239627656338364
3.0323209037780763,8.8846020702747417,9.0247962534714929
3.0328781585693361,8.8843781714733439,9.0256297356035304
3.0334354171752929,8.8841542711392449,9.026463223441187
3.0339926719665526,8.8839303723378489,9.0272967055732245
3.0345499305725099,8.8837064720037482,9.0281301934108811
3.0351071853637697,8.8835210502222317,9.0289636755429186
3.0356644439697265,8.8833819013497841,9.0297971633805734
3.0362217025756837,8.8832427524773347,9.0306306512182299
3.0367789573669435,8.8831036045574265,9.0314641333502692
3.0373362159729003,8.8829644556849772,9.032297621187924
3.0378934707641601,8.882825307765069,9.0331311033199615
3.0384507293701173,8.8826861588926214,9.0339645911576181
3.0390079841613771,8.8825470109727114,9.0347980732896573
3.0395652427673339,8.8824078621002638,9.0355796160416411
3.0401224975585937,8.8822687141803538,9.0362532243044154
3.0406797561645509,8.8821295653079062,9.0369268371783882
3.0412370147705077,8.8819904164354568,9.0376004500523592
3.0417942695617675,8.8818512685155486,9.0382740583151335
3.0423515281677247,8.881712119643101,9.0389476711891064
3.0429087829589845,8.881572971723191,9.0396212794518807
3.0434660415649413,8.8814338228507417,9.0402948923258517
3.0440232963562011,8.8812946749308335,9.040968500588626
3.0445805549621583,8.8811555260583859,9.0416421134625971
3.0451378135681151,8.8810163771859365,9.0423157263365699
3.0456950683593749,8.8808772292660283,9.0429893345993442
3.0462523269653321,8.8807380803935789,9.0436629474733152
3.0468095817565919,8.8805989324736707,9.0443365557360913
3.0473668403625487,8.8804597836012213,9.0450101686100624
3.0479240951538085,8.8803206356813131,9.0456837768728366
3.0484813537597657,8.8801814868088655,9.0463573897468077
3.0490386123657225,8.8800423379364162,9.0470310026207805
3.0495958671569823,8.879903190016508,9.0477046108835548
3.0501531257629395,8.8797640411440586,9.0483782237575259
3.0507103805541993,8.8796248932241504,9.0490518320203002
3.0512676391601561,8.8794857443517028,9.049725444894273
3.0518248939514159,8.8793465964317928,9.0503990531570473
3.0523821525573731,8.8792074475593452,9.0510726660310183
3.0529394073486329,8.8790682996394352,9.0517462742937944
3.0534966659545897,8.8789291507669876,9.0524198871677637
3.0540539245605469,8.8787900018945383,9.0530935000417365
3.0546111793518067,8.8786508539746301,9.0537671083045108
3.0551684379577635,8.8785117051021807,9.0544407211784819
3.0557256927490233,8.8783725571822725,9.0551143294412579
3.0562829513549805,8.8782334083098249,9.055787942315229
3.0568402061462403,8.8780942603899149,9.0564208576587379
3.0573974647521971,8.8779551115174673,9.0570105811720119
3.0579547195434569,8.8778159635975573,9.0575990364369936
3.0585119781494141,8.8776816069777595,9.0581821846944699
3.0590692367553709,8.8775939630017078,9.0587653329519462
3.0596264915466307,8.8775510848929535,9.0593484772174975
3.0601837501525879,8.8775210843572037,9.0599316254749755
3.0607410049438477,8.877491084026822,9.0605147697405268
3.0612982635498045,8.8774610834910739,9.0610979179980031
3.0618555183410643,8.8774310831606922,9.0616810622635544
3.0624127769470215,8.8774010826249441,9.0622642105210325
3.0629700355529783,8.8773710820891942,9.062847358778507
3.0635272903442381,8.8773410817588143,9.0634305030440601
3.0640845489501953,8.8773110812230644,9.0640136513015364
3.0646418075561526,8.8772810806873164,9.0645967995590127
3.0651990585327149,8.8772510805623028,9.0651799398326407
3.0657563171386717,8.8772210800265547,9.065763088090117
