x,z,cp,tangential_velocity
9.999919095224254484e-01,1.154240879215396968e-02,8.591232716824231952e-01,-3.753354876874511747e-01
9.999595481111860362e-01,1.154908983453547047e-02,7.910019057326329595e-01,-4.571630937284494878e-01
9.998948272849117469e-01,1.156245150718030607e-02,7.370255293788744444e-01,-5.128103651654533079e-01
9.997977510358877495e-01,1.158249298587756687e-02,6.924013755674724990e-01,-5.546157448473019169e-01
9.996683253522343771e-01,1.160921303437445484e-02,6.538756505468837910e-01,-5.883233375050799241e-01
9.995065582175375329e-01,1.164261000445250202e-02,6.193709934649131998e-01,-6.169513810140040411e-01
9.993124596103560853e-01,1.168268183602928778e-02,5.874723796937422193e-01,-6.422831309525868226e-01
9.990860415036063591e-01,1.172942605728548304e-02,5.572040240643507669e-01,-6.654291667305012314e-01
9.988273178638236161e-01,1.178283978481733940e-02,5.280838589145807616e-01,-6.869615280970392535e-01
9.985363046503008544e-01,1.184291972381453471e-02,5.003098979194955387e-01,-7.068876163015620495e-01
9.982130198141039301e-01,1.190966216826343065e-02,4.746156907472215414e-01,-7.248339873741975747e-01
9.978574832969639985e-01,1.198306300117567280e-02,4.516640160910304624e-01,-7.404971194467737661e-01
9.974770527465590675e-01,1.207239621577056721e-02,4.145972125865462488e-01,-7.651161920999017818e-01
9.970620758337563894e-01,1.215355206425003387e-02,3.286285314287951120e-01,-8.193726066761110038e-01
9.966041592803691618e-01,1.221059423961353384e-02,3.610920917129195606e-01,-7.993171512529181344e-01
9.961127722175076027e-01,1.226614758885212486e-02,3.787213217850480262e-01,-7.882123306666497520e-01
9.955887932044263922e-01,1.232538559348718074e-02,3.822972242730436898e-01,-7.859406947899798546e-01
9.950322545626191229e-01,1.238830459943953896e-02,3.816517325400108351e-01,-7.863512367002351011e-01
9.944431906220105866e-01,1.245490072556853720e-02,3.790748835647472781e-01,-7.879880179515756922e-01
9.938216377188395789e-01,1.252516986391141902e-02,3.748598078934227695e-01,-7.906580753439360620e-01
9.931676341934170260e-01,1.259910767993674061e-02,3.686371356597222260e-01,-7.945834533516776821e-01
