x0,z0,x1,z1,face
5.2290276831708518,8.9621665790430249,5.2234396211974206,8.9633202359041757,0
5.2234214046606651,8.9633680428954037,5.2234396211974206,8.9633202359041757,0
3.1085887503834257,8.8813865982641715,3.1141978547256537,8.8883031712684009,0
3.1084707724467702,8.8813344062530675,3.1030741346936477,8.8794635809033569,0
3.1085887503834257,8.8813865982641715,3.1085653511368596,8.8813645794937646,0
3.1085653511368596,8.8813645794937646,3.1084707724467702,8.8813344062530675,0
4.3119656999135216,9.1494196406198913,4.4110526899743192,9.1327151161701234,0
3.0259435642469708,9.0151712063071177,3.026237774298346,9.0156725762661001,0
3.0097589660147861,8.9826110092019977,3.0164374425762395,8.9979519722577646,0
3.0164374425762395,8.9979519722577646,3.0259435642469708,9.0151712063071177,0
3.0096268878813262,8.982268801057419,3.0097589660147861,8.9826110092019977,0
3.0055555766049449,8.9707083008070985,3.0096268878813262,8.982268801057419,0
3.0024538161154473,8.9594806508187634,3.0055555766049449,8.9707083008070985,0
3.0009316790096703,8.9508808660994017,3.0024005512358949,8.9592286236869114,0
3.0001656106052952,8.942694302896971,3.0009316790096703,8.9508808660994017,0
3.0024005512358949,8.9592286236869114,3.0024538161154473,8.9594806508187634,0
3.0001576099343445,8.9425122295529516,3.0001656106052952,8.942694302896971,0
3.000398621102736,8.9305454067628141,3.0000507372385474,8.9364425395323615,0
3.0000507372385474,8.9364425395323615,3.0001576099343445,8.9425122295529516,0
3.0023916482122588,8.9184703805026952,3.0011440810772032,8.9247651744629302,0
3.0004155067945133,8.9303904322989247,3.000398621102736,8.9305454067628141,0
3.0011440810772032,8.9247651744629302,3.0004155067945133,8.9303904322989247,0
3.0034302474739802,8.9148436782065428,3.0024237697608354,8.9183433045622387,0
3.0024237697608354,8.9183433045622387,3.0023916482122588,8.9184703805026952,0
3.0047963971902787,8.911095360879294,3.0034302474739802,8.9148436782065428,0
3.0057233954647664,8.9089289055938821,3.0048280951890747,8.9110169877146248,0
3.0067251286911496,8.9068396478296297,3.0057233954647664,8.9089289055938821,0
3.0048280951890747,8.9110169877146248,3.0047963971902787,8.911095360879294,0
3.0078640326065762,8.904717102474315,3.0067575226708985,8.9067778660821251,0
3.0090734391395269,8.90271498223502,3.0078640326065762,8.904717102474315,0
3.0067575226708985,8.9067778660821251,3.0067251286911496,8.9068396478296297,0
3.0104214392868212,8.9007421694188888,3.0091120749915721,8.9026570316783289,0
3.0118166299249762,8.8989291509877386,3.0104214392868212,8.9007421694188888,0
3.0091120749915721,8.9026570316783289,3.0090734391395269,8.90271498223502,0
3.0135745529822153,8.8968936627331843,3.011864636430766,8.8988724874595064,0
3.015340057219472,8.8950739356925297,3.0135745529822153,8.8968936627331843,0
3.011864636430766,8.8988724874595064,3.0118166299249762,8.8989291509877386,0
3.017179048631232,8.8933759090366031,3.0153919517496059,8.8950248919369415,0
3.0189552984409267,8.8919078277550589,3.017179048631232,8.8933759090366031,0
3.0153919517496059,8.8950248919369415,3.015340057219472,8.8950739356925297,0
