x,z,cp,tangential_velocity
9.998705623397365905e-01,1.156746102687957259e-02,7.027749653640107397e-01,-5.451834871270306859e-01
9.993529394380267217e-01,1.167432473929258356e-02,5.617570297522473943e-01,-6.619992222410481242e-01
9.983182044659175691e-01,1.188794670253626867e-02,4.352970022334033962e-01,-7.514672300018122586e-01
9.967652907595906386e-01,1.215813667216376556e-02,3.873858908361421660e-01,-7.826966904004755143e-01
9.946808352389481245e-01,1.242803401417706677e-02,3.941184202315367591e-01,-7.783839539510454264e-01
9.920652245425076732e-01,1.272373967163861405e-02,3.681839341010427757e-01,-7.948685840432726524e-01
9.889291593585347595e-01,1.304839920048592172e-02,3.336187607113302311e-01,-8.163217743565767126e-01
9.852744458236689651e-01,1.338907549421316026e-02,3.200656192901117914e-01,-8.245813366247675136e-01
9.811071404492068826e-01,1.376941452731337244e-02,3.091429459825546511e-01,-8.311781120899691677e-01
9.764320764613667603e-01,1.419609535750000068e-02,2.992040363844947759e-01,-8.371355706308896139e-01
9.712558317359818449e-01,1.468465156009502587e-02,2.852613297859122321e-01,-8.454221846001486185e-01
9.655809478745478458e-01,1.521195464554718664e-02,2.729339371251399138e-01,-8.526816890697607176e-01
9.594107424695363928e-01,1.575783516601041157e-02,2.659692137529363620e-01,-8.567559665663634361e-01
9.527521967764274180e-01,1.632489360628232994e-02,2.625083332875630671e-01,-8.587733500245783302e-01
9.456120189506145302e-01,1.691416760666542354e-02,2.632216157969812231e-01,-8.583579580821854016e-01
9.379987484990275348e-01,1.754248561840826559e-02,2.629990532248904778e-01,-8.584875926739474750e-01
9.299198988004409028e-01,1.820922756749102436e-02,2.644892932993713197e-01,-8.576192084489646650e-01
9.213848798514285843e-01,1.892537081679358454e-02,2.652264976630837046e-01,-8.571893036762161522e-01
9.123994740852365837e-01,1.966369165361541577e-02,2.686617275902899449e-01,-8.551831806167086159e-01
9.029710550741055775e-01,2.041111805910351962e-02,2.784119949191616872e-01,-8.494633630009232883e-01
8.931115113381675741e-01,2.119272135076936264e-02,2.914044873519132661e-01,-8.417811548425675472e-01
8.828346242069886607e-01,2.205027716494763548e-02,3.046357303761869639e-01,-8.338850458089610562e-01
8.721497763858959695e-01,2.297540911593388621e-02,3.216694024045165801e-01,-8.236082792174223011e-01
8.610696659437051537e-01,2.397145035657025081e-02,3.508539098244247700e-01,-8.056960283975435066e-01
8.496231319985335650e-01,2.522166599614818205e-02,3.780211803825619388e-01,-7.886563380950146751e-01
8.378501252418431022e-01,2.692153243574171156e-02,3.913963788735929095e-01,-7.801305154436705136e-01
8.257956807899127227e-01,2.916878038735262399e-02,3.908931859459211511e-01,-7.804529544143444797e-01
8.134990155443935222e-01,3.199782215910338540e-02,3.789391816849541073e-01,-7.880741198104692646e-01
8.010497977344055442e-01,3.555493379522417507e-02,3.440930525255463390e-01,-8.098808230069740599e-01
7.883636665429230028e-01,3.948027001997227170e-02,2.858719537815871403e-01,-8.450609718939887660e-01
7.754077345265095733e-01,4.363032291930161316e-02,2.708519851565280856e-01,-8.539016423707544989e-01
7.624001011756627033e-01,4.850498197568457737e-02,2.097497761977756836e-01,-8.889601924733324667e-01
7.492167796925535139e-01,5.371119819181639082e-02,8.859949301092939766e-02,-9.546729843192749421e-01
7.356003566021396267e-01,5.859827893982122449e-02,2.602331541430935591e-02,-9.869025709692373916e-01
7.216845563427880528e-01,6.345836891851797112e-02,1.481678765467897563e-03,-9.992588859922798550e-01
7.077362187722007203e-01,6.892933268361348120e-02,-1.310209088963723012e-01,-1.063494668015017464e+00
6.933173817276651052e-01,7.361060680608230711e-02,-2.860438485344296566e-01,-1.134038733260213538e+00
6.783562214788978473e-01,7.737227793012502186e-02,-2.114191387861044102e-01,-1.100644874056161848e+00
6.631850736225177734e-01,8.116572383055703499e-02,-2.554086051212747233e-01,-1.120450179669437496e+00
6.477576395227543360e-01,8.472147732329091130e-02,-2.702669127959138606e-01,-1.127061184140379257e+00
6.321056359690586657e-01,8.802530608806666268e-02,-2.996020758587345512e-01,-1.140000910463993655e+00
6.162077557913266945e-01,9.089042098335622932e-02,-2.774441019256901342e-01,-1.130240727423007963e+00
6.001364931602737318e-01,9.359978502848127768e-02,-2.513088804080916283e-01,-1.118619184713051329e+00
5.839492234342791299e-01,9.636276280261982241e-02,-2.478699695504400502e-01,-1.117081004023629420e+00
5.676630762991794477e-01,9.918345162820722816e-02,-2.583421041031859211e-01,-1.121758487421952166e+00
5.512886147648885515e-01,1.020269145299602526e-01,-2.743592499112414984e-01,-1.128875214499477586e+00
5.348377334958694940e-01,1.048650909906634482e-01,-2.937666135451555416e-01,-1.137438619682466845e+00
5.183250952819478119e-01,1.076864324198213152e-01,-3.156624727736256908e-01,-1.147023309603438568e+00
5.017701364561297783e-01,1.105067613756706701e-01,-3.512901085652928579e-01,-1.162450045621442163e+00
4.851526499819548421e-01,1.130809418369662644e-01,-3.662112428669364039e-01,-1.168850393706113433e+00
4.685080806488758909e-01,1.155313735261666863e-01,-3.513687652628776359e-01,-1.162483877420619427e+00
4.519104338844596169e-01,1.182351768384442975e-01,-3.975556808182667545e-01,-1.182182591995951659e+00
4.353256621732798370e-01,1.208615585679833349e-01,-4.554460733214655832e-01,-1.206418697352401592e+00
4.187405483820062502e-01,1.232138364031285516e-01,-4.705944984738630321e-01,-1.212680707554079529e+00
4.022028768854027936e-01,1.254930930989309468e-01,-4.975412100824101458e-01,-1.223740662919398980e+00
3.857284576506632701e-01,1.276818948457331959e-01,-5.343014295284400639e-01,-1.238669217155427660e+00
3.693297355565171025e-01,1.297488704199606657e-01,-5.671738843167579702e-01,-1.251868157721394370e+00
3.530335011804124346e-01,1.317728444410900257e-01,-6.230044641803680339e-01,-1.273971924408213940e+00
3.368423710345096467e-01,1.336250333903200027e-01,-6.886578570231334240e-01,-1.299483688632963707e+00
3.207647621709248109e-01,1.352311892355095024e-01,-7.495733966733355569e-01,-1.322714404802992849e+00
3.048148964992554166e-01,1.365111082360547790e-01,-8.094339632751446079e-01,-1.345152022365927458e+00
2.890109716041552312e-01,1.374238613033544609e-01,-8.511288284903730794e-01,-1.360561953198152985e+00
2.733802472660253891e-01,1.380418407605863429e-01,-9.152120741185227892e-01,-1.383911873682180271e+00
2.579410647654002409e-01,1.381965187662966832e-01,-9.574848900104635518e-01,-1.399101458083173988e+00
2.427214668034019529e-01,1.378906010679902816e-01,-9.787432429337084017e-01,-1.406678087884256634e+00
2.277479778682750533e-01,1.372139088699464438e-01,-1.014552261424820134e+00,-1.419349238709353145e+00
2.130477297137763348e-01,1.361011049870140543e-01,-1.048217861257585426e+00,-1.431159621166550933e+00
1.986619214827428648e-01,1.344605717162571934e-01,-1.054414218430366645e+00,-1.433322789336151759e+00
1.846274135391196558e-01,1.322888883657031278e-01,-1.031457575374735480e+00,-1.425292101772382525e+00
1.709632594238466308e-01,1.296775813984139269e-01,-1.004955457104868888e+00,-1.415964497120202781e+00
1.576931167008315260e-01,1.266579148561805535e-01,-9.765428809072853600e-01,-1.405895757482497510e+00
1.448604371939218871e-01,1.231930913536233851e-01,-9.180202051002002150e-01,-1.384926064849745009e+00
1.324787699941912811e-01,1.193586699250382827e-01,-8.547077759008154807e-01,-1.361876564120557687e+00
1.205483920352760918e-01,1.152530653530080967e-01,-8.017076101263220789e-01,-1.342277024360590820e+00
1.090981882000700287e-01,1.108638918026781384e-01,-7.457198495127992377e-01,-1.321256920327306794e+00
9.815892634583296694e-02,1.061915636754789671e-01,-6.870810722972835460e-01,-1.298876850320030751e+00
