x,z
5.152411510000000305e+00,8.584515870000000604e+00
5.151038279999999858e+00,8.583190220000000537e+00
5.147660160000000040e+00,8.580961269999999530e+00
5.146271689999999843e+00,8.582316280000000575e+00
5.137264230000000431e+00,8.578536440000000596e+00
5.137190200000000040e+00,8.578523860000000667e+00
5.136421529999999791e+00,8.578327879999999794e+00
5.131055400000000155e+00,8.576671790000000684e+00
5.096344789999999847e+00,8.566101910000000430e+00
5.092779290000000181e+00,8.564972830000000314e+00
5.051190329999999840e+00,8.553650149999999286e+00
5.047430760000000127e+00,8.552533079999999899e+00
5.042932450000000344e+00,8.551231129999999681e+00
5.014304100000000375e+00,8.542602520000000865e+00
4.983790570000000031e+00,8.534523899999999941e+00
4.941930929999999833e+00,8.522837969999999430e+00
4.928103359999999711e+00,8.519304350000000525e+00
4.925405790000000117e+00,8.518639139999999443e+00
4.914416310000000010e+00,8.515466430000000031e+00
4.902344570000000346e+00,8.512452729999999690e+00
4.899500739999999688e+00,8.511795810000000628e+00
4.866522599999999699e+00,8.504626220000000458e+00
4.836727019999999655e+00,8.496569729999999154e+00
4.807336399999999621e+00,8.487658270000000726e+00
4.789779880000000212e+00,8.483476530000000793e+00
4.765175720000000226e+00,8.477312919999999252e+00
4.716293130000000389e+00,8.462128330000000531e+00
4.710380530000000121e+00,8.460522709999999336e+00
4.703471150000000378e+00,8.458119529999999386e+00
4.669677450000000007e+00,8.450291970000000319e+00
4.653525300000000087e+00,8.445994100000000060e+00
4.642740410000000040e+00,8.443490699999999904e+00
4.624692959999999964e+00,8.438253100000000728e+00
4.621063539999999747e+00,8.437404219999999455e+00
4.610049349999999713e+00,8.435068319999999176e+00
4.603976069999999865e+00,8.434033050000000031e+00
4.593684030000000362e+00,8.432000320000000215e+00
4.587405219999999950e+00,8.430465820000000221e+00
4.567645709999999859e+00,8.426647060000000522e+00
4.563018470000000271e+00,8.425856579999999596e+00
4.552018880000000323e+00,8.424164369999999735e+00
4.478688840000000226e+00,8.415278239999999244e+00
4.466811909999999664e+00,8.413503340000000108e+00
4.457428150000000144e+00,8.412285889999999711e+00
4.433944219999999881e+00,8.409437379999999962e+00
4.418827160000000198e+00,8.407595510000000161e+00
4.405817560000000022e+00,8.406193679999999446e+00
4.381872839999999769e+00,8.404302859999999598e+00
4.365904070000000026e+00,8.402162669999999167e+00
4.361318119999999965e+00,8.401644499999999738e+00
4.341649900000000173e+00,8.400182479999999785e+00
4.331354939999999765e+00,8.399807149999999112e+00
4.299081750000000035e+00,8.396274630000000627e+00
4.246889470000000166e+00,8.392424630000000718e+00
4.233189499999999938e+00,8.390490529999999225e+00
4.222560350000000184e+00,8.389209250000000395e+00
4.211682320000000423e+00,8.388671959999999928e+00
4.179325519999999905e+00,8.385935650000000408e+00
4.153482880000000321e+00,8.384562380000000203e+00
4.128176780000000434e+00,8.381743139999999315e+00
4.108818740000000247e+00,8.380577600000000515e+00
4.058431149999999654e+00,8.378646279999999891e+00
4.012007419999999769e+00,8.376444920000000849e+00
3.979886679999999899e+00,8.374924849999999310e+00
3.953347649999999991e+00,8.372965380000000124e+00
3.941987689999999933e+00,8.372788650000000388e+00
3.892311939999999915e+00,8.373192460000000281e+00
3.839325469999999907e+00,8.372990310000000491e+00
3.776191820000000199e+00,8.371855650000000537e+00
3.763677089999999836e+00,8.372033370000000474e+00
3.753340769999999882e+00,8.372156880000000356e+00
3.671504689999999904e+00,8.374241420000000602e+00
3.658106979999999897e+00,8.374290930000000799e+00
3.649989750000000033e+00,8.374518460000000886e+00
3.631122899999999820e+00,8.375452479999999866e+00
3.610193399999999997e+00,8.376805590000000024e+00
3.580355620000000183e+00,8.378037960000000339e+00
3.572720390000000190e+00,8.378885439999999463e+00
3.560424509999999820e+00,8.379817170000000814e+00
3.517165620000000104e+00,8.384362210000000815e+00
3.489450979999999980e+00,8.386820020000000042e+00
3.462576630000000044e+00,8.389051159999999285e+00
3.438716299999999837e+00,8.392553140000000411e+00
3.413503139999999991e+00,8.397204829999999731e+00
3.389554309999999848e+00,8.401466949999999656e+00
3.373548369999999963e+00,8.404328930000000142e+00
3.357936060000000111e+00,8.408442219999999523e+00
3.348525130000000072e+00,8.410525970000000129e+00
3.335624629999999868e+00,8.414165990000000761e+00
3.330518399999999879e+00,8.415631050000000002e+00
3.310848299999999966e+00,8.423102670000000458e+00
3.298661889999999985e+00,8.428110450000000142e+00
3.295887149999999988e+00,8.429272929999999775e+00
3.294732590000000183e+00,8.429856680000000324e+00
3.271705059999999943e+00,8.442687189999999120e+00
3.264442380000000199e+00,8.447380389999999295e+00
3.256671349999999965e+00,8.452122270000000270e+00
3.256669389999999886e+00,8.452123690000000522e+00
3.256668920000000078e+00,8.452124180000000209e+00
3.256668020000000219e+00,8.452125419999999778e+00
3.242563829999999925e+00,8.470601520000000662e+00
3.241758910000000160e+00,8.472526470000000032e+00
3.241699420000000220e+00,8.472990619999999140e+00
3.241357530000000153e+00,8.480456639999999879e+00
3.233706559999999897e+00,8.487743780000000626e+00
3.229718989999999845e+00,8.491559669999999116e+00
3.226368190000000080e+00,8.495045960000000562e+00
3.220094979999999829e+00,8.501537980000000161e+00
3.219149310000000153e+00,8.502850150000000440e+00
3.217434610000000195e+00,8.505209969999999231e+00
3.216189669999999889e+00,8.507318930000000279e+00
3.213967880000000221e+00,8.511043510000000367e+00
3.212944170000000099e+00,8.512391510000000494e+00
3.211159980000000136e+00,8.514723059999999677e+00
3.209826060000000147e+00,8.516057070000000451e+00
3.207540180000000074e+00,8.518331800000000342e+00
3.207058420000000076e+00,8.518686770000000408e+00
3.206243520000000125e+00,8.519285800000000464e+00
3.205816319999999831e+00,8.519504290000000424e+00
3.205097209999999919e+00,8.519872360000000810e+00
3.204812179999999788e+00,8.519968549999999752e+00
3.204333880000000079e+00,8.520130699999999280e+00
3.203982519999999834e+00,8.520213740000000868e+00
3.203393849999999876e+00,8.520354060000000729e+00
3.200226600000000143e+00,8.520673719999999562e+00
3.194933840000000025e+00,8.521220980000000722e+00
3.191320249999999970e+00,8.516495400000000160e+00
3.190185440000000039e+00,8.515362169999999509e+00
3.190018100000000079e+00,8.515285040000000194e+00
3.189464860000000179e+00,8.515128790000000336e+00
3.185018700000000091e+00,8.513440440000000109e+00
3.182248990000000166e+00,8.513029660000000831e+00
3.169367719999999888e+00,8.511305050000000705e+00
3.160884160000000165e+00,8.511857589999999973e+00
3.151360250000000196e+00,8.512293839999999889e+00
3.138998860000000057e+00,8.513142909999999119e+00
3.138920070000000173e+00,8.513160700000000247e+00
3.138846689999999828e+00,8.513181720000000396e+00
3.138372729999999944e+00,8.513332639999999785e+00
3.117818789999999840e+00,8.520644920000000511e+00
